2022-05-24:14:26:29,382 DEBUG    [connectionpool.py:1001] Starting new HTTPS connection (1): api.kite.trade:443
2022-05-24:14:26:30,827 DEBUG    [connectionpool.py:456] https://api.kite.trade:443 "POST /session/token HTTP/1.1" 200 None
2022-05-24:14:27:01,440 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 0 : 1442.0 : 1441.35 : 1441.65
2022-05-24:14:27:01,440 DEBUG    [AbhaysApp.py:71] One min Candle data :: AMBUJACEM  : 0 : 363.1 : 362.85 : 363.0
2022-05-24:14:27:01,440 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 0 : 3629.2 : 3621.05 : 3628.0
2022-05-24:14:27:01,440 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 0 : 3282.95 : 3281.2 : 3281.2
2022-05-24:14:27:01,441 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 0 : 461.3 : 461.0 : 461.05
2022-05-24:14:27:01,441 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 0 : 1315.2 : 1314.75 : 1315.0
2022-05-24:14:27:01,441 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 0 : 708.0 : 707.8 : 708.0
2022-05-24:14:27:02,9 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 0 : 2610.7 : 2610.0 : 2610.3
2022-05-24:14:27:02,9 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 0 : 459.8 : 459.5 : 459.8
2022-05-24:14:28:00,814 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.8 : 459.85 : 459.05 : 459.6
2022-05-24:14:28:01,324 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1315.2 : 1315.2 : 1313.6 : 1313.6
2022-05-24:14:28:01,324 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 708.0 : 708.0 : 707.1 : 707.6
2022-05-24:14:28:01,324 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1441.95 : 1442.0 : 1441.2 : 1441.45
2022-05-24:14:28:01,324 DEBUG    [AbhaysApp.py:71] One min Candle data :: AMBUJACEM  : 362.9 : 363.1 : 362.8 : 362.8
2022-05-24:14:28:01,324 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3628.0 : 3629.35 : 3620.4 : 3625.8
2022-05-24:14:28:01,325 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3282.85 : 3282.85 : 3280.05 : 3280.8
2022-05-24:14:28:02,125 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 461.05 : 461.05 : 460.6 : 460.8
2022-05-24:14:29:00,746 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 460.75 : 460.95 : 460.35 : 460.5
2022-05-24:14:29:01,365 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2610.45 : 2610.5 : 2606.0 : 2606.7
